,ha,hb,hab,pa,pb,pab_c,pab_d,irr_conj,irr_disj
2434,-0.5,0.0,0.9000000000000001,0.9999999999999998,0.5,0.8796798141156824,0.9715887829470102,0.3796798141156824,0.028411217052989546
2435,-0.5,0.0,1.0,0.9999999999999998,0.5,0.6564232237067,0.9894886855079641,0.15642322370670003,0.010511314492035684
2436,-0.5,0.10000000000000009,-1.0,0.9999999999999998,0.34549150281252616,0.010511314492036013,0.3435767762932999,-0.33498018832049015,0.6564232237066998
2437,-0.5,0.10000000000000009,-0.9,0.9999999999999998,0.34549150281252616,0.028411217052989376,0.12032018588431734,-0.3170802857595368,0.8796798141156824
2438,-0.5,0.10000000000000009,-0.8,0.9999999999999998,0.34549150281252616,0.1825314462337739,0.006735772249725285,-0.16296005657875226,0.9932642277502745
2439,-0.5,0.10000000000000009,-0.7,0.9999999999999998,0.34549150281252616,0.4283538889427527,0.03563275062693823,0.08286238613022656,0.9643672493730615
2440,-0.5,0.10000000000000009,-0.6,0.9999999999999998,0.34549150281252616,0.6948714701916927,0.19866408041237166,0.34937996737916654,0.8013359195876282
2441,-0.5,0.10000000000000009,-0.5,0.9999999999999998,0.34549150281252616,0.9050997481197381,0.44873764906864877,0.559608245307212,0.551262350931351
2442,-0.5,0.10000000000000009,-0.3999999999999999,0.9999999999999998,0.34549150281252616,0.9983132116827412,0.7136184953566602,0.6528217088702151,0.28638150464333956
2443,-0.5,0.10000000000000009,-0.29999999999999993,0.9999999999999998,0.34549150281252616,0.9475868406207979,0.9167947547029871,0.6020953378082717,0.08320524529701268
2444,-0.5,0.10000000000000009,-0.19999999999999996,0.9999999999999998,0.34549150281252616,0.7675731230165596,0.999578124942121,0.4220816202040334,0.00042187505787882884
2445,-0.5,0.10000000000000009,-0.09999999999999998,0.9999999999999998,0.34549150281252616,0.5102697986577039,0.9380562529563299,0.16477829584517778,0.061943747043669894
2446,-0.5,0.10000000000000009,0.0,0.9999999999999998,0.34549150281252616,0.25,0.75,-0.09549150281252616,0.24999999999999978
2447,-0.5,0.10000000000000009,0.10000000000000009,0.9999999999999998,0.34549150281252616,0.06194374704367034,0.48973020134229606,-0.2835477557688558,0.5102697986577037
2448,-0.5,0.10000000000000009,0.20000000000000018,0.9999999999999998,0.34549150281252616,0.0004218750578790972,0.23242687698344033,-0.34506962775464706,0.7675731230165594
2449,-0.5,0.10000000000000009,0.30000000000000004,0.9999999999999998,0.34549150281252616,0.08320524529701309,0.052413159379202635,-0.26228625751551304,0.9475868406207971
2450,-0.5,0.10000000000000009,0.40000000000000013,0.9999999999999998,0.34549150281252616,0.2863815046433399,0.0016867883172585615,-0.05910999816918627,0.9983132116827412
2451,-0.5,0.10000000000000009,0.5,0.9999999999999998,0.34549150281252616,0.5512623509313511,0.0949002518802621,0.20577084811882496,0.9050997481197377
2452,-0.5,0.10000000000000009,0.6000000000000001,0.9999999999999998,0.34549150281252616,0.8013359195876286,0.30512852980830774,0.45584441677510246,0.694871470191692
2453,-0.5,0.10000000000000009,0.7000000000000002,0.9999999999999998,0.34549150281252616,0.9643672493730618,0.571646111057247,0.6188757465605357,0.4283538889427527
